Plate,Plate #,Run,Well,Compound,Target,Inhibition
DIV4861,Plate1,200922,H3,NSC55957,HCoV-NL63-PLP2,O
DIV4861,Plate1,200922,H3,NSC55957,SLEV NS2B-GS-NS3,X
DIV4861,Plate1,200922,H3,NSC55957,WNV NS2B-GS-NS3,X
DIV4861,Plate1,200922,H3,NSC55957,DUGV OTU,X
DIV4861,Plate1,200922,H3,NSC55957,SARS-CoV PLP,X
DIV4861,Plate1,200922,H3,NSC55957,SARS-CoV-2 PLP,X
DIV4861,Plate1,200922,H3,NSC55957,Bat-SL-CoVZC45 PLP2,X
DIV4861,Plate1,200922,H3,NSC55957,MERS-CoV PLP,X
DIV4862,Plate2,200922,B4,NSC134784,HIV-1,X
DIV4862,Plate2,200922,F9,NSC287495,SARS-CoV PLP,O
DIV4862,Plate2,200922,F9,NSC287495,Bat-SL-CoVZC45 PLP2,O
DIV4862,Plate2,200922,F9,NSC287495,HCoV-NL63 PLP2,X
DIV4862,Plate2,200922,F9,NSC287495,SARS-CoV-2 PLP,X
DIV4862,Plate2,200922,F9,NSC287495,MERS-CoV PLP,O
DIV4862,Plate2,200922,H11,NSC361056,Beluga-CoV SW1,O
DIV4862,Plate2,200922,H11,NSC361056,HRV-B14 3C,X
DIV4862,Plate2,200922,H11,NSC361056,Bat-CoV-HKU9 3CL,X
DIV4862,Plate2,200922,H11,NSC361056,HCoV-NL63 3CL,X
DIV4862,Plate2,200922,H11,NSC361056,SARS-CoV 3CL,X
DIV4862,Plate2,200922,H11,NSC361056,HCoV-OC43 3CL,X
DIV4862,Plate2,200922,H11,NSC361056,MERS-CoV 3CL,X
DIV4865,Plate5,201020,B7,NSC117554,FES,O
DIV4865,Plate5,201020,B7,NSC117554,LGTV NS2B-GS-NS3,X
DIV4865,Plate5,201020,B7,NSC117554,Bat-CoV-HKU9 3CL,X
DIV4865,Plate5,201020,B7,NSC117554,POWV NS2B-GS-NS3,X
DIV4865,Plate5,201020,B7,NSC117554,YES1,X
DIV4865,Plate5,201020,B7,NSC117554,cSrc,X
DIV4867,Plate7,201020,E4,NSC403374,SARS-CoV-2 3CL,O
DIV4867,Plate7,201020,E4,NSC403374,SARS-CoV-3CL,O
DIV4867,Plate7,201020,E4,NSC403374,HCoV-NL63-PLP,O
DIV4867,Plate7,201020,E4,NSC403374,Bat-CoVZC45-3CL,O
DIV4867,Plate7,201020,E4,NSC403374,HCoV-NL63-3CL,X
DIV4867,Plate7,201020,E4,NSC403374,Bat-CoV-HKU9 3CL,X
DIV4867,Plate7,201020,E4,NSC403374,HCoV-OC43-3CL,X
