plate,well,gene,run,compoundwell,compoundsrc,compoundid,inhibitor
NS1519_22020,D05,HAV,220718,D05,CB,6728297,False
NS1519_22020,D05,HCoV-NL63-3CL,220718,D05,CB,6728297,False
NS1519_22020,F10,Bat-SV-CoVZC45-3CL,220718,F10,CB,6762077,False
NCIDIV_4867,B11,HTLV,201020,B11,NSC,10865,False
NCIDIV_4868,A02,YES1,201020,A02,NSC,11664,False
NCIDIV_4868,C03,NWV,201020,C03,NSC,13434,False
NCIDIV_4868,D05,YES1,201020,D05,NSC,19824,False
NCIDIV_4873,F07,HCoV-NL63-PLP2,210525,F07,NSC,33570,False
NCIDIV_4873,F07,HCoV-HKU1-3CL,210525,F07,NSC,33570,False
NCIDIV_4873,F07,SARS-CoV-1-3CL,210525,F07,NSC,33570,False
NCIDIV_4873,F07,ZIKV,210525,F07,NSC,33570,False
NCIDIV_4873,F07,LGTV,210525,F07,NSC,33570,False
NCIDIV_4873,F07,MERS-CoV-3CL,210525,F07,NSC,33570,False
NCIDIV_4873,F07,HCoV-OC43-3CL,210525,F07,NSC,33570,False
NCIDIV_4873,F07,HRV-B14,210525,F07,NSC,33570,False
NCIDIV_4864,B04,MERS-CoV-3CL,200922,B04,NSC,38490,False
NCIDIV_4869,A02,HCoV-HKU1-3CL,201020,A02,NSC,51351,False
NCIDIV_4869,A02,SV-A,201020,A02,NSC,51351,False
NCIDIV_4869,G10,HCoV-NL63-PLP2,201020,G10,NSC,60037,False
NCIDIV_4864,F01,HCoV-OC43-3CL,200922,D08,NSC,60419,False
NCIDIV_4861,B06,MERS-CoV-3CL,200922,B06,NSC,67307,False
NCIDIV_4864,G12,HCoV-OC43-3CL,200922,E09,NSC,69421,False
NCIDIV_4873,G04,LGTV,210525,G04,NSC,71866,True
NCIDIV_4873,G04,SV-A,210525,G04,NSC,71866,True
NCIDIV_4869,F05,HIV-2,201020,F05,NSC,88324,False
NCIDIV_4869,F08,HIV-2,201020,F08,NSC,108783,False
NCIDIV_4869,F08,HCoV-OC43-3CL,201020,F08,NSC,108783,False
NCIDIV_4869,F08,SARS-CoV-2-PLP,201020,F08,NSC,108783,False
NCIDIV_4869,F08,Bat-CoV-HKU9-3CL,201020,F08,NSC,108783,False
NCIDIV_4876,B11,HCoV-HKU1-3CL,210525,B11,NSC,124818,False
NCIDIV_4870,A06,HCoV-HKU1-3CL,201020,A06,NSC,138389,True
NCIDIV_4870,A06,LGTV,201020,A06,NSC,138389,True
NCIDIV_4870,A06,SARS-CoV-2-3CL,201020,A06,NSC,138389,False
NCIDIV_4870,A06,Bat-SV-CoVZC45-3CL,201020,A06,NSC,138389,True
NCIDIV_4870,A06,Bat-CoV-HKU4-3CL,201020,A06,NSC,138389,False
NCIDIV_4870,D12,HCV,201020,E06,NSC,140899,False
NCIDIV_4866,E04,HIV-1,201020,E04,NSC,163144,False
NCIDIV_4866,B06,FES,201020,B06,NSC,177989,True
NCIDIV_4866,C06,EMCV,201020,C06,NSC,179818,False
NCIDIV_4874,H08,MERS-CoV-3CL,210525,H08,NSC,201989,False
NCIDIV_4874,H08,Bat-CoV-HKU4-3CL,210525,H08,NSC,201989,False
NCIDIV_4866,C07,MERS-CoV-3CL,201020,C07,NSC,204976,False
NCIDIV_4871,E02,NWV,201020,E02,NSC,236254,False
NCIDIV_4871,E02,ZIKV,201020,E02,NSC,236254,False
NCIDIV_4871,E02,MERS-CoV-3CL,201020,E02,NSC,236254,False
NCIDIV_4871,E02,HCoV-HKU1-3CL,201020,E02,NSC,236254,False
NCIDIV_4871,E02,HRV-B14,201020,E02,NSC,236254,False
NCIDIV_4871,E02,Bat-CoV-HKU4-3CL,201020,E02,NSC,236254,False
NCIDIV_4862,F08,Bat-CoV-HKU4-3CL,200922,F08,NSC,246415,False
NCIDIV_4871,G10,DENV,201020,G10,NSC,276736,False
NCIDIV_4871,F11,Bat-CoV-HKU4-3CL,201020,F11,NSC,280492,False
NCIDIV_4871,B01,HCoV-OC43-3CL,201020,D04,NSC,299514,False
NCIDIV_4871,H04,HCoV-HKU1-3CL,201020,H04,NSC,302584,False
NCIDIV_4871,H04,MERS-CoV-3CL,201020,H04,NSC,302584,False
NCIDIV_4871,H04,HCoV-229E-3CL,201020,H04,NSC,302584,False
NCIDIV_4871,H04,HCoV-OC43-3CL,201020,H04,NSC,302584,False
NCIDIV_4875,H03,NWV,210525,H03,NSC,319424,False
NCIDIV_4871,A07,YES1,201020,A07,NSC,326644,False
NCIDIV_4873,A10,MERS-CoV-PLP,210525,A10,NSC,680516,True
