plate,well,src,id
NCIDIV_4860,A02,NSC,18473
NCIDIV_4860,B02,NSC,30041
NCIDIV_4860,C02,NSC,38968
NCIDIV_4860,D02,NSC,41833
NCIDIV_4860,E02,NSC,42633
NCIDIV_4860,F02,NSC,47881
NCIDIV_4860,G02,NSC,48231
NCIDIV_4860,H02,NSC,51787
NCIDIV_4860,A03,NSC,54260
NCIDIV_4860,B03,NSC,65248
NCIDIV_4860,C03,NSC,75071
NCIDIV_4860,D03,NSC,113532
NCIDIV_4860,E03,NSC,122276
NCIDIV_4860,F03,NSC,123797
NCIDIV_4860,G03,NSC,135857
NCIDIV_4860,H03,NSC,148304
NCIDIV_4860,A04,NSC,149877
NCIDIV_4860,B04,NSC,173969
NCIDIV_4860,C04,NSC,200686
NCIDIV_4860,D04,NSC,679449
NCIDIV_4860,E04,NSC,4135
NCIDIV_4860,F04,NSC,4426
NCIDIV_4860,G04,NSC,4936
NCIDIV_4860,H04,NSC,5784
NCIDIV_4860,A05,NSC,7606
NCIDIV_4860,B05,NSC,7950
NCIDIV_4860,C05,NSC,9441
NCIDIV_4860,D05,NSC,9489
NCIDIV_4860,E05,NSC,10427
NCIDIV_4860,F05,NSC,10772
NCIDIV_4860,G05,NSC,11128
NCIDIV_4860,H05,NSC,11141
NCIDIV_4860,A06,NSC,11470
NCIDIV_4860,B06,NSC,12588
NCIDIV_4860,C06,NSC,13213
NCIDIV_4860,D06,NSC,14767
NCIDIV_4860,E06,NSC,14771
NCIDIV_4860,F06,NSC,15133
NCIDIV_4860,G06,NSC,15776
NCIDIV_4860,H06,NSC,16021
NCIDIV_4860,A07,NSC,16162
NCIDIV_4860,B07,NSC,16631
NCIDIV_4860,C07,NSC,16646
NCIDIV_4860,D07,NSC,16873
NCIDIV_4860,E07,NSC,17796
NCIDIV_4860,F07,NSC,18415
NCIDIV_4860,G07,NSC,19219
NCIDIV_4860,H07,NSC,19848
NCIDIV_4860,A08,NSC,20559
NCIDIV_4860,B08,NSC,22847
NCIDIV_4860,C08,NSC,23225
NCIDIV_4860,D08,NSC,27389
NCIDIV_4860,E08,NSC,27626
NCIDIV_4860,F08,NSC,28011
NCIDIV_4860,G08,NSC,28837
NCIDIV_4860,H08,NSC,29193
NCIDIV_4860,A09,NSC,29629
NCIDIV_4860,B09,NSC,29851
NCIDIV_4860,C09,NSC,29874
NCIDIV_4860,D09,NSC,31712
NCIDIV_4860,E09,NSC,34012
NCIDIV_4860,F09,NSC,34210
NCIDIV_4860,G09,NSC,34794
NCIDIV_4860,H09,NSC,34983
NCIDIV_4860,A10,NSC,35534
NCIDIV_4860,B10,NSC,35679
NCIDIV_4860,C10,NSC,37408
NCIDIV_4860,D10,NSC,37883
NCIDIV_4860,E10,NSC,40817
NCIDIV_4860,F10,NSC,40840
NCIDIV_4860,G10,NSC,41331
NCIDIV_4860,H10,NSC,42021
NCIDIV_4860,A11,NSC,42028
NCIDIV_4860,B11,NSC,42231
NCIDIV_4860,C11,NSC,42774
NCIDIV_4860,D11,NSC,43013
NCIDIV_4860,E11,NSC,43512
NCIDIV_4860,F11,NSC,43546
NCIDIV_4860,G11,NSC,43805
NCIDIV_4860,H11,NSC,44680
NCIDIV_4861,A02,NSC,44819
NCIDIV_4861,B02,NSC,45117
NCIDIV_4861,C02,NSC,45641
NCIDIV_4861,D02,NSC,45719
NCIDIV_4861,E02,NSC,46273
NCIDIV_4861,F02,NSC,47496
NCIDIV_4861,G02,NSC,48422
NCIDIV_4861,H02,NSC,49252
NCIDIV_4861,A03,NSC,50751
NCIDIV_4861,B03,NSC,50858
NCIDIV_4861,C03,NSC,51093
NCIDIV_4861,D03,NSC,53506
NCIDIV_4861,E03,NSC,54834
NCIDIV_4861,F03,NSC,55459
NCIDIV_4861,G03,NSC,55573
NCIDIV_4861,H03,NSC,55957
NCIDIV_4861,A04,NSC,56914
NCIDIV_4861,B04,NSC,57741
NCIDIV_4861,C04,NSC,57890
NCIDIV_4861,D04,NSC,60239
NCIDIV_4861,E04,NSC,60373
NCIDIV_4861,F04,NSC,60377
NCIDIV_4861,G04,NSC,60530
NCIDIV_4861,H04,NSC,60548
NCIDIV_4861,A05,NSC,62129
NCIDIV_4861,B05,NSC,62318
NCIDIV_4861,C05,NSC,62511
NCIDIV_4861,D05,NSC,62609
NCIDIV_4861,E05,NSC,62840
NCIDIV_4861,F05,NSC,63311
NCIDIV_4861,G05,NSC,63314
NCIDIV_4861,H05,NSC,64952
NCIDIV_4861,A06,NSC,66241
NCIDIV_4861,B06,NSC,67307
NCIDIV_4861,C06,NSC,68657
NCIDIV_4861,D06,NSC,70717
NCIDIV_4861,E06,NSC,72292
NCIDIV_4861,F06,NSC,73482
NCIDIV_4861,G06,NSC,75585
NCIDIV_4861,H06,NSC,75786
NCIDIV_4861,A07,NSC,75846
NCIDIV_4861,B07,NSC,77422
NCIDIV_4861,C07,NSC,77913
NCIDIV_4861,D07,NSC,78609
NCIDIV_4861,E07,NSC,78999
NCIDIV_4861,F07,NSC,79010
NCIDIV_4861,G07,NSC,79582
NCIDIV_4861,H07,NSC,80807
NCIDIV_4861,A08,NSC,81462
NCIDIV_4861,B08,NSC,82339
NCIDIV_4861,C08,NSC,82769
NCIDIV_4861,D08,NSC,83076
NCIDIV_4861,E08,NSC,83237
NCIDIV_4861,F08,NSC,83339
NCIDIV_4861,G08,NSC,83345
NCIDIV_4861,H08,NSC,84200
NCIDIV_4861,A09,NSC,85331
NCIDIV_4861,B09,NSC,88882
NCIDIV_4861,C09,NSC,89720
NCIDIV_4861,D09,NSC,91438
NCIDIV_4861,E09,NSC,92264
NCIDIV_4861,F09,NSC,92753
NCIDIV_4861,G09,NSC,93260
NCIDIV_4861,H09,NSC,96979
NCIDIV_4861,A10,NSC,97090
NCIDIV_4861,B10,NSC,97104
NCIDIV_4861,C10,NSC,97538
NCIDIV_4861,D10,NSC,99756
NCIDIV_4861,E10,NSC,100729
NCIDIV_4861,F10,NSC,102025
NCIDIV_4861,G10,NSC,102509
NCIDIV_4861,H10,NSC,104969
NCIDIV_4861,A11,NSC,106045
NCIDIV_4861,B11,NSC,106261
NCIDIV_4861,C11,NSC,108655
NCIDIV_4861,D11,NSC,109176
NCIDIV_4861,E11,NSC,109231
NCIDIV_4861,F11,NSC,109528
NCIDIV_4861,G11,NSC,109813
NCIDIV_4861,H11,NSC,20586
NCIDIV_4862,A02,NSC,109885
NCIDIV_4862,B02,NSC,111107
NCIDIV_4862,C02,NSC,116565
NCIDIV_4862,D02,NSC,117386
NCIDIV_4862,E02,NSC,118832
NCIDIV_4862,F02,NSC,119969
NCIDIV_4862,G02,NSC,120312
NCIDIV_4862,H02,NSC,122131
NCIDIV_4862,A03,NSC,123458
NCIDIV_4862,B03,NSC,125197
NCIDIV_4862,C03,NSC,127216
NCIDIV_4862,D03,NSC,127458
NCIDIV_4862,E03,NSC,127947
NCIDIV_4862,F03,NSC,128068
NCIDIV_4862,G03,NSC,131982
NCIDIV_4862,H03,NSC,134577
NCIDIV_4862,A04,NSC,134580
NCIDIV_4862,B04,NSC,134784
NCIDIV_4862,C04,NSC,134785
NCIDIV_4862,D04,NSC,135351
NCIDIV_4862,E04,NSC,136065
NCIDIV_4862,F04,NSC,145180
NCIDIV_4862,G04,NSC,147829
NCIDIV_4862,H04,NSC,150982
NCIDIV_4862,A05,NSC,151901
NCIDIV_4862,B05,NSC,152632
NCIDIV_4862,C05,NSC,154316
NCIDIV_4862,D05,NSC,154718
NCIDIV_4862,E05,NSC,155196
NCIDIV_4862,F05,NSC,155698
NCIDIV_4862,G05,NSC,155703
NCIDIV_4862,H05,NSC,156571
NCIDIV_4862,A06,NSC,160005
