runid,well,gene,barcode,counts
NCIDIV_4868,A1,CCHFV,6A1,131
NCIDIV_4868,A1,CCHFV,6B1,44
NCIDIV_4868,A1,CCHFV,6C1,26
NCIDIV_4868,A1,CCHFV,6E1,73
NCIDIV_4868,A1,CCHFV,6F1,28
NCIDIV_4868,A1,DUGV,7D10,376
NCIDIV_4868,A1,DUGV,2H8,228
NCIDIV_4868,A1,DUGV,2A9,211
NCIDIV_4868,A1,DUGV,2C9,253
NCIDIV_4868,A1,DUGV,2D9,358
NCIDIV_4868,A1,NWV,7B12,445
NCIDIV_4868,A1,NWV,10A12,801
NCIDIV_4868,A1,NWV,10B12,503
NCIDIV_4868,A1,NWV,10D12,725
NCIDIV_4868,A1,NWV,10E12,506
NCIDIV_4868,A1,SHV,3F11,19
NCIDIV_4868,A1,SHV,3H11,28
NCIDIV_4868,A1,SHV,3A12,42
NCIDIV_4868,A1,SHV,3E12,32
NCIDIV_4868,A1,SHV,3F12,55
NCIDIV_4868,A1,LV,6B3,522
NCIDIV_4868,A1,LV,6C3,415
NCIDIV_4868,A1,LV,6D3,688
NCIDIV_4868,A1,LV,6E3,491
NCIDIV_4868,A1,LV,6G3,350
NCIDIV_4868,A1,HCoV-229E-3CL,5D8,756
NCIDIV_4868,A1,HCoV-229E-3CL,5E8,1102
NCIDIV_4868,A1,HCoV-229E-3CL,5F8,1078
NCIDIV_4868,A1,HCoV-229E-3CL,5H8,1208
NCIDIV_4868,A1,HCoV-229E-3CL,5A9,1105
NCIDIV_4868,A1,HCoV-NL63-3CL,5H10,1828
NCIDIV_4868,A1,HCoV-NL63-3CL,5A11,878
NCIDIV_4868,A1,HCoV-NL63-3CL,5C11,892
NCIDIV_4868,A1,HCoV-NL63-3CL,5E11,798
NCIDIV_4868,A1,HCoV-NL63-3CL,5F11,2677
NCIDIV_4868,A1,SARS-CoV-1-3CL,2F1,464
NCIDIV_4868,A1,SARS-CoV-1-3CL,2G1,332
NCIDIV_4868,A1,SARS-CoV-1-3CL,2A2,344
NCIDIV_4868,A1,SARS-CoV-1-3CL,2C2,284
NCIDIV_4868,A1,SARS-CoV-1-3CL,2D2,387
NCIDIV_4868,A1,SARS-CoV-2-3CL,9E2,2539
NCIDIV_4868,A1,SARS-CoV-2-3CL,1E12,2535
NCIDIV_4868,A1,SARS-CoV-2-3CL,1G12,2751
NCIDIV_4868,A1,SARS-CoV-2-3CL,1H12,1967
NCIDIV_4868,A1,SARS-CoV-2-3CL,4E1,2436
NCIDIV_4868,A1,MERS-CoV-3CL,8B4,208
NCIDIV_4868,A1,MERS-CoV-3CL,8D4,346
NCIDIV_4868,A1,MERS-CoV-3CL,8F4,506
NCIDIV_4868,A1,MERS-CoV-3CL,8H4,272
NCIDIV_4868,A1,MERS-CoV-3CL,8A6,263
NCIDIV_4868,A1,HCoV-HKU1-3CL,3D10,1264
NCIDIV_4868,A1,HCoV-HKU1-3CL,3E10,1826
NCIDIV_4868,A1,HCoV-HKU1-3CL,3H10,1256
NCIDIV_4868,A1,HCoV-HKU1-3CL,3C11,1929
NCIDIV_4868,A1,HCoV-HKU1-3CL,3D11,899
NCIDIV_4868,A1,HCoV-OC43-3CL,7G1,4408
NCIDIV_4868,A1,HCoV-OC43-3CL,7H1,5020
NCIDIV_4868,A1,HCoV-OC43-3CL,7A2,6905
NCIDIV_4868,A1,HCoV-OC43-3CL,7B2,4111
NCIDIV_4868,A1,HCoV-OC43-3CL,7D2,4040
NCIDIV_4868,A1,Bat-CoV-HKU4-3CL,7E3,1196
NCIDIV_4868,A1,Bat-CoV-HKU4-3CL,7F3,1182
NCIDIV_4868,A1,Bat-CoV-HKU4-3CL,7G3,735
NCIDIV_4868,A1,Bat-CoV-HKU4-3CL,7H3,785
NCIDIV_4868,A1,Bat-CoV-HKU4-3CL,7A4,1117
NCIDIV_4868,A1,Bat-CoV-HKU9-3CL,11D8,354
NCIDIV_4868,A1,Bat-CoV-HKU9-3CL,11F8,971
NCIDIV_4868,A1,Bat-CoV-HKU9-3CL,11G8,495
NCIDIV_4868,A1,Bat-CoV-HKU9-3CL,11H8,625
NCIDIV_4868,A1,Bat-CoV-HKU9-3CL,11B9,436
NCIDIV_4868,A1,Bat-SV-CoVZC45-3CL,5C4,807
NCIDIV_4868,A1,Bat-SV-CoVZC45-3CL,5D4,620
NCIDIV_4868,A1,Bat-SV-CoVZC45-3CL,5F4,865
NCIDIV_4868,A1,Bat-SV-CoVZC45-3CL,9D6,559
NCIDIV_4868,A1,Bat-SV-CoVZC45-3CL,5A5,1070
NCIDIV_4868,A1,Beluga-CoV-SW1,11D2,416
NCIDIV_4868,A1,Beluga-CoV-SW1,11G2,137
NCIDIV_4868,A1,Beluga-CoV-SW1,11H2,152
NCIDIV_4868,A1,Beluga-CoV-SW1,11A3,390
NCIDIV_4868,A1,Beluga-CoV-SW1,11B3,197
NCIDIV_4868,A1,HCoV-NL63-PLP2,6H1,953
NCIDIV_4868,A1,HCoV-NL63-PLP2,6A2,1210
NCIDIV_4868,A1,HCoV-NL63-PLP2,6C2,985
NCIDIV_4868,A1,HCoV-NL63-PLP2,6E2,890
NCIDIV_4868,A1,HCoV-NL63-PLP2,6F2,702
NCIDIV_4868,A1,SARS-CoV-1-PLP,6B4,714
NCIDIV_4868,A1,SARS-CoV-1-PLP,6C4,709
NCIDIV_4868,A1,SARS-CoV-1-PLP,6D4,519
NCIDIV_4868,A1,SARS-CoV-1-PLP,6E4,399
NCIDIV_4868,A1,SARS-CoV-1-PLP,6G4,300
NCIDIV_4868,A1,SARS-CoV-2-PLP,6D6,1339
NCIDIV_4868,A1,SARS-CoV-2-PLP,6E6,938
NCIDIV_4868,A1,SARS-CoV-2-PLP,6F6,1187
NCIDIV_4868,A1,SARS-CoV-2-PLP,6H6,1480
NCIDIV_4868,A1,SARS-CoV-2-PLP,6A7,1786
NCIDIV_4868,A1,MERS-CoV-PLP,6B9,706
NCIDIV_4868,A1,MERS-CoV-PLP,6C9,538
NCIDIV_4868,A1,MERS-CoV-PLP,6E9,686
NCIDIV_4868,A1,MERS-CoV-PLP,6F9,1034
NCIDIV_4868,A1,MERS-CoV-PLP,6H9,656
NCIDIV_4868,A1,Bat-SL-CoVZC45-PLP2,7E2,1204
NCIDIV_4868,A1,Bat-SL-CoVZC45-PLP2,7G2,1378
NCIDIV_4868,A1,Bat-SL-CoVZC45-PLP2,7H2,678
NCIDIV_4868,A1,Bat-SL-CoVZC45-PLP2,7A3,871
NCIDIV_4868,A1,Bat-SL-CoVZC45-PLP2,7B3,710
NCIDIV_4868,A1,LGTV,4C7,1656
NCIDIV_4868,A1,LGTV,4E10,1875
NCIDIV_4868,A1,LGTV,4F12,1593
NCIDIV_4868,A1,LGTV,4F7,2333
NCIDIV_4868,A1,LGTV,4F10,1832
NCIDIV_4868,A1,DENV,11C6,5448
NCIDIV_4868,A1,DENV,11D6,6497
NCIDIV_4868,A1,DENV,11H6,3872
NCIDIV_4868,A1,DENV,11A7,4189
NCIDIV_4868,A1,POWV,7B4,743
NCIDIV_4868,A1,POWV,7C4,1133
NCIDIV_4868,A1,POWV,7E4,1474
NCIDIV_4868,A1,POWV,7F4,1523
NCIDIV_4868,A1,POWV,7A5,1247
NCIDIV_4868,A1,WNV,7G6,1987
NCIDIV_4868,A1,WNV,7H6,1390
NCIDIV_4868,A1,WNV,7A7,2382
NCIDIV_4868,A1,WNV,7B7,2136
NCIDIV_4868,A1,WNV,7D7,1876
NCIDIV_4868,A1,ZIKV,1G7,1805
NCIDIV_4868,A1,ZIKV,1A8,2365
NCIDIV_4868,A1,ZIKV,1C8,3387
NCIDIV_4868,A1,ZIKV,1D8,2682
NCIDIV_4868,A1,ZIKV,1E8,2436
NCIDIV_4868,A1,HCV,7E12,2115
NCIDIV_4868,A1,HCV,7F12,1851
NCIDIV_4868,A1,HCV,7G12,1899
NCIDIV_4868,A1,HCV,7H12,1788
NCIDIV_4868,A1,HCV,9B1,1131
NCIDIV_4868,A1,SLEV,9H2,524
NCIDIV_4868,A1,SLEV,9B3,330
NCIDIV_4868,A1,SLEV,9E3,392
NCIDIV_4868,A1,SLEV,9F3,328
NCIDIV_4868,A1,SLEV,9H3,327
NCIDIV_4868,A1,KUNV,7A8,2580
NCIDIV_4868,A1,KUNV,7E8,2577
NCIDIV_4868,A1,KUNV,7F8,2477
NCIDIV_4868,A1,KUNV,7H8,2479
NCIDIV_4868,A1,KUNV,7D9,2717
NCIDIV_4868,A1,PV,2D6,2127
NCIDIV_4868,A1,PV,2F6,2294
NCIDIV_4868,A1,PV,2G6,2027
NCIDIV_4868,A1,PV,2B7,3077
NCIDIV_4868,A1,PV,2C7,2950
NCIDIV_4868,A1,SV-A,9B5,844
NCIDIV_4868,A1,SV-A,9D5,765
NCIDIV_4868,A1,SV-A,9E5,740
NCIDIV_4868,A1,SV-A,9F5,696
NCIDIV_4868,A1,SV-A,9G5,968
NCIDIV_4868,A1,HAV,7E11,1768
NCIDIV_4868,A1,HAV,7F11,1795
NCIDIV_4868,A1,HAV,7G11,1959
NCIDIV_4868,A1,HAV,7H11,1947
NCIDIV_4868,A1,EMCV,9B12,1945
NCIDIV_4868,A1,EMCV,9D12,2419
NCIDIV_4868,A1,EMCV,9E12,2729
NCIDIV_4868,A1,EMCV,9F12,1670
NCIDIV_4868,A1,HPeV,2A8,474
NCIDIV_4868,A1,HPeV,2B8,724
NCIDIV_4868,A1,HPeV,2C8,478
NCIDIV_4868,A1,HPeV,2D8,533
NCIDIV_4868,A1,HPeV,2E8,591
NCIDIV_4868,A1,HRV-B14,9C1,465
NCIDIV_4868,A1,HRV-B14,9H1,1202
NCIDIV_4868,A1,HRV-B14,9A2,511
NCIDIV_4868,A1,HRV-B14,9B2,598
NCIDIV_4868,A1,HRV-B14,9C2,923
NCIDIV_4868,A1,CV-B3,7E9,303
NCIDIV_4868,A1,CV-B3,7F9,234
NCIDIV_4868,A1,CV-B3,7H9,158
NCIDIV_4868,A1,CV-B3,7A10,143
NCIDIV_4868,A1,CV-B3,7B10,282
NCIDIV_4868,A1,HTLV,3B6,321
NCIDIV_4868,A1,HTLV,3D6,200
NCIDIV_4868,A1,HTLV,3F6,336
NCIDIV_4868,A1,HTLV,3A7,329
NCIDIV_4868,A1,HTLV,3B7,388
NCIDIV_4868,A1,HIV-2,7E10,2511
NCIDIV_4868,A1,HIV-2,7D12,3194
NCIDIV_4868,A1,HIV-2,9G2,2867
NCIDIV_4868,A1,HIV-2,9A5,2491
NCIDIV_4868,A1,HIV-2,9A9,1951
NCIDIV_4868,A1,HIV-1,1E3,3112
NCIDIV_4868,A1,HIV-1,9C10,5001
NCIDIV_4868,A1,HIV-1,1G3,2656
NCIDIV_4868,A1,HIV-1,1A4,4385
NCIDIV_4868,A1,HIV-1,1B4,3552
NCIDIV_4868,A1,HHV-3,9A4,468
NCIDIV_4868,A1,HHV-3,9B4,343
NCIDIV_4868,A1,HHV-3,9C4,510
NCIDIV_4868,A1,HHV-3,9D4,353
NCIDIV_4868,A1,HHV-3,9F4,291
NCIDIV_4868,A1,YES1,4C9,724
NCIDIV_4868,A1,YES1,4E9,853
NCIDIV_4868,A1,YES1,4G9,569
NCIDIV_4868,A1,YES1,4B10,638
NCIDIV_4868,A1,YES1,4C10,622
NCIDIV_4868,A1,c-Src,1D4,3067
NCIDIV_4868,A1,c-Src,1D7,2867
NCIDIV_4868,A1,c-Src,1B10,2478
NCIDIV_4868,A1,c-Src,4G1,4058
NCIDIV_4868,A1,c-Src,9F11,2528
NCIDIV_4868,A1,FES,6A3,1169
NCIDIV_4868,A1,FES,6D5,1176
NCIDIV_4868,A1,FES,6E7,1444
NCIDIV_4868,A1,FES,6C10,1291
NCIDIV_4868,A1,FES,7D3,898
NCIDIV_4868,A1,EYFP,3C5,17055
NCIDIV_4868,A1,EYFP,3D5,16721
NCIDIV_4868,A1,EYFP,3F5,20874
NCIDIV_4868,A1,EYFP,3H5,18704
NCIDIV_4868,A1,EYFP,3A6,17964
NCIDIV_4868,A2,CCHFV,6A1,15
NCIDIV_4868,A2,CCHFV,6B1,14
NCIDIV_4868,A2,CCHFV,6C1,2
NCIDIV_4868,A2,CCHFV,6E1,37
NCIDIV_4868,A2,CCHFV,6F1,13
NCIDIV_4868,A2,DUGV,7D10,273
NCIDIV_4868,A2,DUGV,2H8,337
NCIDIV_4868,A2,DUGV,2A9,240
NCIDIV_4868,A2,DUGV,2C9,282
NCIDIV_4868,A2,DUGV,2D9,334
NCIDIV_4868,A2,NWV,7B12,321
NCIDIV_4868,A2,NWV,10A12,476
NCIDIV_4868,A2,NWV,10B12,301
NCIDIV_4868,A2,NWV,10D12,394
NCIDIV_4868,A2,NWV,10E12,290
NCIDIV_4868,A2,SHV,3F11,18
NCIDIV_4868,A2,SHV,3H11,18
NCIDIV_4868,A2,SHV,3A12,12
NCIDIV_4868,A2,SHV,3E12,49
NCIDIV_4868,A2,SHV,3F12,57
NCIDIV_4868,A2,LV,6B3,138
NCIDIV_4868,A2,LV,6C3,98
NCIDIV_4868,A2,LV,6D3,1232
NCIDIV_4868,A2,LV,6E3,122
NCIDIV_4868,A2,LV,6G3,55
