runid,well,gene,barcode,counts
NS1519_22009,A1,CCHFV,6A1,11
NS1519_22009,A1,CCHFV,6B1,26
NS1519_22009,A1,CCHFV,6C1,28
NS1519_22009,A1,CCHFV,6E1,32
NS1519_22009,A1,CCHFV,6F1,46
NS1519_22009,A1,DUGV,7D10,412
NS1519_22009,A1,DUGV,2H8,175
NS1519_22009,A1,DUGV,2A9,106
NS1519_22009,A1,DUGV,2C9,288
NS1519_22009,A1,DUGV,2D9,407
NS1519_22009,A1,NWV,7B12,286
NS1519_22009,A1,NWV,10A12,656
NS1519_22009,A1,NWV,10B12,396
NS1519_22009,A1,NWV,10D12,684
NS1519_22009,A1,NWV,10E12,623
NS1519_22009,A1,SHV,3F11,14
NS1519_22009,A1,SHV,3H11,21
NS1519_22009,A1,SHV,3A12,0
NS1519_22009,A1,SHV,3E12,21
NS1519_22009,A1,SHV,3F12,45
NS1519_22009,A1,LV,6B3,181
NS1519_22009,A1,LV,6C3,142
NS1519_22009,A1,LV,6D3,106
NS1519_22009,A1,LV,6E3,107
NS1519_22009,A1,LV,6G3,149
NS1519_22009,A1,HCoV-229E-3CL,5D8,74
NS1519_22009,A1,HCoV-229E-3CL,5E8,100
NS1519_22009,A1,HCoV-229E-3CL,5F8,126
NS1519_22009,A1,HCoV-229E-3CL,5H8,190
NS1519_22009,A1,HCoV-229E-3CL,5A9,32
NS1519_22009,A1,HCoV-NL63-3CL,5H10,591
NS1519_22009,A1,HCoV-NL63-3CL,5A11,269
NS1519_22009,A1,HCoV-NL63-3CL,5C11,681
NS1519_22009,A1,HCoV-NL63-3CL,5E11,224
NS1519_22009,A1,HCoV-NL63-3CL,5F11,371
NS1519_22009,A1,SARS-CoV-1-3CL,2F1,181
NS1519_22009,A1,SARS-CoV-1-3CL,2G1,195
NS1519_22009,A1,SARS-CoV-1-3CL,2A2,40
NS1519_22009,A1,SARS-CoV-1-3CL,2C2,90
NS1519_22009,A1,SARS-CoV-1-3CL,2D2,132
NS1519_22009,A1,SARS-CoV-2-3CL,9E2,1422
NS1519_22009,A1,SARS-CoV-2-3CL,1E12,1756
NS1519_22009,A1,SARS-CoV-2-3CL,1G12,935
NS1519_22009,A1,SARS-CoV-2-3CL,1H12,1359
NS1519_22009,A1,SARS-CoV-2-3CL,4E1,1841
NS1519_22009,A1,MERS-CoV-3CL,8B4,163
NS1519_22009,A1,MERS-CoV-3CL,8D4,323
NS1519_22009,A1,MERS-CoV-3CL,8F4,341
NS1519_22009,A1,MERS-CoV-3CL,8H4,338
NS1519_22009,A1,MERS-CoV-3CL,8A6,340
NS1519_22009,A1,HCoV-HKU1-3CL,3D10,1118
NS1519_22009,A1,HCoV-HKU1-3CL,3E10,891
NS1519_22009,A1,HCoV-HKU1-3CL,3H10,1202
NS1519_22009,A1,HCoV-HKU1-3CL,3C11,1013
NS1519_22009,A1,HCoV-HKU1-3CL,3D11,1028
NS1519_22009,A1,HCoV-OC43-3CL,7G1,666
NS1519_22009,A1,HCoV-OC43-3CL,7H1,929
NS1519_22009,A1,HCoV-OC43-3CL,7A2,1649
NS1519_22009,A1,HCoV-OC43-3CL,7B2,880
NS1519_22009,A1,HCoV-OC43-3CL,7D2,487
NS1519_22009,A1,Bat-CoV-HKU4-3CL,7E3,675
NS1519_22009,A1,Bat-CoV-HKU4-3CL,7F3,769
NS1519_22009,A1,Bat-CoV-HKU4-3CL,7G3,981
NS1519_22009,A1,Bat-CoV-HKU4-3CL,7H3,766
NS1519_22009,A1,Bat-CoV-HKU4-3CL,7A4,1151
NS1519_22009,A1,Bat-CoV-HKU9-3CL,11D8,41
NS1519_22009,A1,Bat-CoV-HKU9-3CL,11F8,33
NS1519_22009,A1,Bat-CoV-HKU9-3CL,11G8,48
NS1519_22009,A1,Bat-CoV-HKU9-3CL,11H8,83
NS1519_22009,A1,Bat-CoV-HKU9-3CL,11B9,29
NS1519_22009,A1,Bat-SV-CoVZC45-3CL,5C4,1038
NS1519_22009,A1,Bat-SV-CoVZC45-3CL,5D4,845
NS1519_22009,A1,Bat-SV-CoVZC45-3CL,5F4,1057
NS1519_22009,A1,Bat-SV-CoVZC45-3CL,9D6,471
NS1519_22009,A1,Bat-SV-CoVZC45-3CL,5A5,790
NS1519_22009,A1,Beluga-CoV-SW1,11D2,38
NS1519_22009,A1,Beluga-CoV-SW1,11G2,141
NS1519_22009,A1,Beluga-CoV-SW1,11H2,34
NS1519_22009,A1,Beluga-CoV-SW1,11A3,59
NS1519_22009,A1,Beluga-CoV-SW1,11B3,57
NS1519_22009,A1,HCoV-NL63-PLP2,6H1,446
NS1519_22009,A1,HCoV-NL63-PLP2,6A2,749
NS1519_22009,A1,HCoV-NL63-PLP2,6C2,538
NS1519_22009,A1,HCoV-NL63-PLP2,6E2,386
NS1519_22009,A1,HCoV-NL63-PLP2,6F2,490
NS1519_22009,A1,SARS-CoV-1-PLP,6B4,215
NS1519_22009,A1,SARS-CoV-1-PLP,6C4,187
NS1519_22009,A1,SARS-CoV-1-PLP,6D4,102
NS1519_22009,A1,SARS-CoV-1-PLP,6E4,168
NS1519_22009,A1,SARS-CoV-1-PLP,6G4,147
NS1519_22009,A1,SARS-CoV-2-PLP,6D6,187
NS1519_22009,A1,SARS-CoV-2-PLP,6E6,427
NS1519_22009,A1,SARS-CoV-2-PLP,6F6,381
NS1519_22009,A1,SARS-CoV-2-PLP,6H6,408
NS1519_22009,A1,SARS-CoV-2-PLP,6A7,407
NS1519_22009,A1,MERS-CoV-PLP,6B9,592
