runid,well,gene,barcode,counts
221126_August_Plate3L_single_conc_B1,Plate3L_Dasatinib.10uM.B1,CCHFV,6A1,144
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B1,CCHFV,6A1,61
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B2,CCHFV,6A1,59
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B3,CCHFV,6A1,75
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B4,CCHFV,6A1,91
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B5,CCHFV,6A1,188
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B6,CCHFV,6A1,235
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B7,CCHFV,6A1,278
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B8,CCHFV,6A1,141
221126_August_Plate3L_single_conc_B1,Plate3L_GC376.10uM.B1,CCHFV,6A1,104
221126_August_Plate3L_single_conc_B1,Plate3L_GRL0617.10uM.B1,CCHFV,6A1,116
221126_August_Plate3L_single_conc_B1,Plate3L_Lopinavir.10uM.B1,CCHFV,6A1,44
221126_August_Plate3L_single_conc_B1,Plate3L_MAC5576.10uM.B1,CCHFV,6A1,96
221126_August_Plate3L_single_conc_B1,Plate3L_Dasatinib.10uM.B1,CCHFV,6B1,117
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B1,CCHFV,6B1,51
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B2,CCHFV,6B1,116
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B3,CCHFV,6B1,108
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B4,CCHFV,6B1,116
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B5,CCHFV,6B1,166
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B6,CCHFV,6B1,56
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B7,CCHFV,6B1,147
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B8,CCHFV,6B1,35
221126_August_Plate3L_single_conc_B1,Plate3L_GC376.10uM.B1,CCHFV,6B1,90
221126_August_Plate3L_single_conc_B1,Plate3L_GRL0617.10uM.B1,CCHFV,6B1,170
221126_August_Plate3L_single_conc_B1,Plate3L_Lopinavir.10uM.B1,CCHFV,6B1,75
221126_August_Plate3L_single_conc_B1,Plate3L_MAC5576.10uM.B1,CCHFV,6B1,113
221126_August_Plate3L_single_conc_B1,Plate3L_Dasatinib.10uM.B1,CCHFV,6C1,63
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B1,CCHFV,6C1,104
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B2,CCHFV,6C1,91
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B3,CCHFV,6C1,273
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B4,CCHFV,6C1,131
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B5,CCHFV,6C1,112
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B6,CCHFV,6C1,114
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B7,CCHFV,6C1,160
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B8,CCHFV,6C1,166
221126_August_Plate3L_single_conc_B1,Plate3L_GC376.10uM.B1,CCHFV,6C1,46
221126_August_Plate3L_single_conc_B1,Plate3L_GRL0617.10uM.B1,CCHFV,6C1,90
221126_August_Plate3L_single_conc_B1,Plate3L_Lopinavir.10uM.B1,CCHFV,6C1,209
221126_August_Plate3L_single_conc_B1,Plate3L_MAC5576.10uM.B1,CCHFV,6C1,79
221126_August_Plate3L_single_conc_B1,Plate3L_Dasatinib.10uM.B1,CCHFV,6.00E+01,100
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B1,CCHFV,6.00E+01,288
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B2,CCHFV,6.00E+01,24
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B3,CCHFV,6.00E+01,101
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B4,CCHFV,6.00E+01,176
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B5,CCHFV,6.00E+01,46
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B6,CCHFV,6.00E+01,100
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B7,CCHFV,6.00E+01,35
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B8,CCHFV,6.00E+01,101
221126_August_Plate3L_single_conc_B1,Plate3L_GC376.10uM.B1,CCHFV,6.00E+01,132
221126_August_Plate3L_single_conc_B1,Plate3L_GRL0617.10uM.B1,CCHFV,6.00E+01,101
221126_August_Plate3L_single_conc_B1,Plate3L_Lopinavir.10uM.B1,CCHFV,6.00E+01,187
221126_August_Plate3L_single_conc_B1,Plate3L_MAC5576.10uM.B1,CCHFV,6.00E+01,10
221126_August_Plate3L_single_conc_B1,Plate3L_Dasatinib.10uM.B1,CCHFV,6F1,51
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B1,CCHFV,6F1,80
