plate,well,OD595
NCIDIV_4865,A01,0.6682
NCIDIV_4865,B01,0.6074
NCIDIV_4865,C01,0.6451
NCIDIV_4865,D01,0.6494
NCIDIV_4865,E01,0.6378
NCIDIV_4865,F01,0.6387
NCIDIV_4865,G01,0.6356
NCIDIV_4865,H01,0.6034
NCIDIV_4865,A02,0.6689
NCIDIV_4865,B02,0.6447
NCIDIV_4865,C02,0.6678
NCIDIV_4865,D02,0.6479
NCIDIV_4865,E02,0.6382
NCIDIV_4865,F02,0.6347
NCIDIV_4865,G02,0.6155
NCIDIV_4865,H02,0.6117
NCIDIV_4865,A03,0.7544
NCIDIV_4865,B03,0.0339
NCIDIV_4865,C03,0.636
NCIDIV_4865,D03,0.0362
NCIDIV_4865,E03,0.626
NCIDIV_4865,F03,0.6326
NCIDIV_4865,G03,0.4457
NCIDIV_4865,H03,0.6186
NCIDIV_4865,A04,0.6524
NCIDIV_4865,B04,0.6527
NCIDIV_4865,C04,0.6829
NCIDIV_4865,D04,0.6134
NCIDIV_4865,E04,0.6294
NCIDIV_4865,F04,0.7925
NCIDIV_4865,G04,0.6233
NCIDIV_4865,H04,0.6018
NCIDIV_4865,A05,0.4254
NCIDIV_4865,B05,0.6499
NCIDIV_4865,C05,0.6614
NCIDIV_4865,D05,0.6466
NCIDIV_4865,E05,0.5661
NCIDIV_4865,F05,0.6481
NCIDIV_4865,G05,0.6235
NCIDIV_4865,H05,0.5634
NCIDIV_4865,A06,0.6654
NCIDIV_4865,B06,0.5906
NCIDIV_4865,C06,0.6542
NCIDIV_4865,D06,0.6447
NCIDIV_4865,E06,0.6105
NCIDIV_4865,F06,0.1802
NCIDIV_4865,G06,0.6087
NCIDIV_4865,H06,0.6075
NCIDIV_4865,A07,0.6547
NCIDIV_4865,B07,0.6806
NCIDIV_4865,C07,0.645
NCIDIV_4865,D07,0.651
NCIDIV_4865,E07,0.6081
NCIDIV_4865,F07,0.6135
NCIDIV_4865,G07,0.6231
NCIDIV_4865,H07,0.6308
NCIDIV_4865,A08,0.6567
NCIDIV_4865,B08,0.6644
NCIDIV_4865,C08,0.6593
NCIDIV_4865,D08,0.6344
NCIDIV_4865,E08,0.361
NCIDIV_4865,F08,0.6297
NCIDIV_4865,G08,0.61
NCIDIV_4865,H08,0.6246
NCIDIV_4865,A09,0.6955
NCIDIV_4865,B09,0.0924
NCIDIV_4865,C09,0.662
NCIDIV_4865,D09,0.6171
NCIDIV_4865,E09,0.618
NCIDIV_4865,F09,0.5991
NCIDIV_4865,G09,0.617
NCIDIV_4865,H09,0.5806
NCIDIV_4865,A10,0.699
NCIDIV_4865,B10,0.6885
NCIDIV_4865,C10,0.6674
NCIDIV_4865,D10,0.3448
NCIDIV_4865,E10,0.6361
NCIDIV_4865,F10,0.644
NCIDIV_4865,G10,0.6218
NCIDIV_4865,H10,0.4721
NCIDIV_4865,A11,0.6784
NCIDIV_4865,B11,0.6524
NCIDIV_4865,C11,0.651
NCIDIV_4865,D11,0.6276
NCIDIV_4865,E11,0.6539
NCIDIV_4865,F11,0.6458
NCIDIV_4865,G11,0.627
NCIDIV_4865,H11,0.6234
NCIDIV_4865,A12,0.6874
NCIDIV_4865,B12,0.6886
NCIDIV_4865,C12,0.678
NCIDIV_4865,D12,0.6495
NCIDIV_4865,E12,0.6324
NCIDIV_4865,F12,0.6453
NCIDIV_4865,G12,0.054
NCIDIV_4865,H12,0.4461
NCIDIV_4866,A01,0.6087
NCIDIV_4866,B01,0.6482
NCIDIV_4866,C01,0.6251
NCIDIV_4866,D01,0.5652
NCIDIV_4866,E01,0.6314
NCIDIV_4866,F01,0.6327
NCIDIV_4866,G01,0.6351
NCIDIV_4866,H01,0.6414
NCIDIV_4866,A02,0.6304
NCIDIV_4866,B02,0.6419
NCIDIV_4866,C02,0.6342
NCIDIV_4866,D02,0.0827
NCIDIV_4866,E02,0.6237
NCIDIV_4866,F02,0.6264
NCIDIV_4866,G02,0.6308
