run,plate
210525,NCIDIV_4860
200922,NCIDIV_4861
200922,NCIDIV_4862
200922,NCIDIV_4863
200922,NCIDIV_4864
201020,NCIDIV_4865
201020,NCIDIV_4866
201020,NCIDIV_4867
201020,NCIDIV_4868
201020,NCIDIV_4869
201020,NCIDIV_4870
201020,NCIDIV_4871
201020,NCIDIV_4872
210525,NCIDIV_4873
210525,NCIDIV_4874
210525,NCIDIV_4875
210525,NCIDIV_4876
210525,NCIDIV_4877
210525,NCIDIV_4878
220718,NS1519_22009
220718,NS1519_22010
220718,NS1519_22015
220718,NS1519_22016
220718,NS1519_22017
220718,NS1519_22018
220718,NS1519_22019
220718,NS1519_22020
220718,NS1519_22021
220718,NS1519_22022
220718,NS1519_22023
220718,NS1519_22024
