compoundsrc,compoundid,gene,magratio,max_rel_growth,pval,t,df,inhibitor
CB,6728297,Bat-CoV-HKU4-3CL,0.538594989,1.745639214,1.47E-06,23.65997266,4,TRUE
CB,6728297,Bat-CoV-HKU9-3CL,0.983242245,3.521813592,7.42E-13,72.38799323,4,TRUE
CB,6728297,Bat-SV-CoVZC45-3CL,0.621404058,2.036410924,6.40E-05,12.97893632,4,TRUE
CB,6728297,BWCoV-SW1-3CL,0.361861796,5.5970638,3.20E-07,38.03249761,4,TRUE
CB,6728297,CV-B3-3C,0.259131645,6.507093488,0.00022762,10.51353665,4,TRUE
CB,6728297,HCoV-229E-3CL,0.294081837,2.144172,0.00027955,9.335587701,4,TRUE
CB,6728297,HCoV-HKU1-3CL,0.581896942,6.457033124,2.75E-10,41.30035896,4,TRUE
CB,6728297,MERS-CoV-3CL,0.403763203,1.326622,1.69E-05,10.44194521,4,TRUE
CB,6728297,SARS-CoV-3CL,1.393847395,3.977954876,2.25E-08,55.55798079,4,TRUE
CB,6728297,SARS-CoV-2-3CL,0.986257948,4.207031248,6.70E-05,14.10546089,4,TRUE
CB,6728297,HCoV-NL63-3CL,0.255707264,3.578223118,1.67E-06,24.60279005,4,TRUE
CB,6728297,HAV-3C,0.433833439,3.798043518,7.12E-06,24.0610458,3,TRUE
CB,6762077,Bat-CoV-HKU4-3CL,0.700349843,1.561010488,5.56E-07,19.01791511,4,TRUE
CB,6762077,Bat-CoV-HKU9-3CL,0.925832803,2.731613432,6.05E-06,18.32534063,4,TRUE
CB,6762077,BWCoV-SW1-3CL,0.406555675,1.620891262,9.93E-05,10.24234169,4,TRUE
CB,6762077,HAV-3C,0.356028189,1.326622,1.69E-05,10.44194521,3,TRUE
CB,6762077,HCoV-229E-3CL,0.286742692,1.7391304,3.21E-06,19.05523956,4,TRUE
CB,6762077,HCoV-HKU1-3CL,0.572742041,4.843810446,5.01E-08,23.21508046,4,TRUE
CB,6762077,HCoV-NL63-3CL,0.351038334,1.447030898,5.94E-05,13.41267882,4,TRUE
CB,6762077,SARS-CoV-3CL,0.686134441,3.25517492,6.05E-06,16.86323679,4,TRUE
