runid,well,gene,barcode,counts
NS1519_022057,A1,CCHFV,6A1,6
NS1519_022057,A1,CCHFV,6B1,14
NS1519_022057,A1,CCHFV,6C1,17
NS1519_022057,A1,CCHFV,6E1,17
NS1519_022057,A1,CCHFV,6F1,7
NS1519_022057,A1,DUGV,7D10,98
NS1519_022057,A1,DUGV,2H8,109
NS1519_022057,A1,DUGV,2A9,64
NS1519_022057,A1,DUGV,2C9,87
NS1519_022057,A1,DUGV,2D9,109
NS1519_022057,A1,NWV,7B12,59
NS1519_022057,A1,NWV,10A12,230
NS1519_022057,A1,NWV,10B12,129
NS1519_022057,A1,NWV,10D12,168
NS1519_022057,A1,NWV,10E12,109
NS1519_022057,A1,SHV,3F11,10
NS1519_022057,A1,SHV,3H11,4
NS1519_022057,A1,SHV,3A12,6
NS1519_022057,A1,SHV,3E12,10
NS1519_022057,A1,SHV,3F12,12
NS1519_022057,A1,LV,6B3,30
NS1519_022057,A1,LV,6C3,31
NS1519_022057,A1,LV,6D3,57
NS1519_022057,A1,LV,6E3,29
NS1519_022057,A1,LV,6G3,12
NS1519_022057,A1,HCoV-229E-3CL,5D8,28
NS1519_022057,A1,HCoV-229E-3CL,5E8,42
NS1519_022057,A1,HCoV-229E-3CL,5F8,37
NS1519_022057,A1,HCoV-229E-3CL,5H8,47
NS1519_022057,A1,HCoV-229E-3CL,5A9,25
NS1519_022057,A1,HCoV-NL63-3CL,5H10,133
NS1519_022057,A1,HCoV-NL63-3CL,5A11,189
NS1519_022057,A1,HCoV-NL63-3CL,5C11,226
NS1519_022057,A1,HCoV-NL63-3CL,5E11,117
NS1519_022057,A1,HCoV-NL63-3CL,5F11,275
NS1519_022057,A1,SARS-CoV-1-3CL,2F1,40
NS1519_022057,A1,SARS-CoV-1-3CL,2G1,33
NS1519_022057,A1,SARS-CoV-1-3CL,2A2,17
NS1519_022057,A1,SARS-CoV-1-3CL,2C2,37
NS1519_022057,A1,SARS-CoV-1-3CL,2D2,45
NS1519_022057,A1,SARS-CoV-2-3CL,9E2,406
NS1519_022057,A1,SARS-CoV-2-3CL,1E12,324
NS1519_022057,A1,SARS-CoV-2-3CL,1G12,282
NS1519_022057,A1,SARS-CoV-2-3CL,1H12,352
NS1519_022057,A1,SARS-CoV-2-3CL,4E1,429
NS1519_022057,A1,MERS-CoV-3CL,8B4,67
NS1519_022057,A1,MERS-CoV-3CL,8D4,70
NS1519_022057,A1,MERS-CoV-3CL,8F4,81
NS1519_022057,A1,MERS-CoV-3CL,8H4,45
NS1519_022057,A1,MERS-CoV-3CL,8A6,69
NS1519_022057,A1,HCoV-HKU1-3CL,3D10,205
NS1519_022057,A1,HCoV-HKU1-3CL,3E10,197
NS1519_022057,A1,HCoV-HKU1-3CL,3H10,186
NS1519_022057,A1,HCoV-HKU1-3CL,3C11,218
NS1519_022057,A1,HCoV-HKU1-3CL,3D11,213
NS1519_022057,A1,HCoV-OC43-3CL,7G1,97
NS1519_022057,A1,HCoV-OC43-3CL,7H1,97
NS1519_022057,A1,HCoV-OC43-3CL,7A2,162
NS1519_022057,A1,HCoV-OC43-3CL,7B2,98
NS1519_022057,A1,HCoV-OC43-3CL,7D2,99
NS1519_022057,A1,Bat-CoV-HKU4-3CL,7E3,104
NS1519_022057,A1,Bat-CoV-HKU4-3CL,7F3,152
NS1519_022057,A1,Bat-CoV-HKU4-3CL,7G3,208
NS1519_022057,A1,Bat-CoV-HKU4-3CL,7H3,211
